class	num	num	num	num	num	comment
20	8	307	130	3504	12	chevrolet
15	8	350	165	3693	11.5	buick
20	8	318	150	3436	11	plymouth
15	8	304	150	3433	12	amc
15	8	302	140	3449	10.5	ford
15	8	429	198	4341	10	ford
15	8	454	220	4354	9	chevrolet
15	8	440	215	4312	8.5	plymouth
15	8	455	225	4425	10	pontiac
20	4	140	90	2408	19.5	chevrolet
20	4	122	86	2226	16.5	ford
15	8	350	165	4274	12	chevrolet
15	8	400	175	4385	12	pontiac
15	8	318	150	4135	13.5	plymouth
15	8	351	153	4129	13	ford
15	8	304	150	3672	11.5	amc
10	8	429	208	4633	11	mercury
15	8	350	155	4502	13.5	buick
10	8	350	160	4456	13.5	oldsmobile
15	8	400	190	4422	12.5	chrysler
20	3	70	97	2330	13.5	mazda
15	8	304	150	3892	12.5	amc
15	8	307	130	4098	14	chevrolet
15	8	302	140	4294	16	ford
15	8	318	150	4077	14	plymouth
20	4	121	112	2933	14.5	volvo
20	4	121	76	2511	18	volkswagen
20	4	120	87	2979	19.5	peugeot
25	4	96	69	2189	18	renault
20	4	122	86	2395	16	ford
30	4	97	92	2288	17	datsun
25	4	120	97	2506	14.5	toyouta
30	4	98	80	2164	15	dodge
25	4	97	88	2100	16.5	toyota
15	8	350	175	4100	13	buick
15	8	304	150	3672	11.5	amc
15	8	350	145	3988	13	chevrolet
15	8	302	137	4042	14.5	ford
15	8	318	150	3777	12.5	dodge
10	8	429	198	4952	11.5	mercury
15	8	400	150	4464	12	chevrolet
15	8	351	158	4363	13	ford
15	8	318	150	4237	14.5	plymouth
15	8	440	215	4735	11	chrysler
10	8	455	225	4951	11	buick
15	8	360	175	3821	11	amc
20	6	225	105	3121	16.5	plymouth
15	6	250	100	3278	18	chevrolet
20	6	232	100	2945	16	amc
20	6	250	88	3021	16.5	ford
25	6	198	95	2904	16	plymouth
25	4	97	46	1950	21	volkswagen
10	8	400	150	4997	14	chevrolet
10	8	400	167	4906	12.5	ford
15	8	360	170	4654	13	plymouth
10	8	350	180	4499	12.5	oldsmobile
20	6	232	100	2789	15	amc
20	4	97	88	2279	19	toyota
20	4	140	72	2401	19.5	chevrolet
20	4	108	94	2379	16.5	datsun
20	3	70	90	2124	13.5	maxda
20	4	122	85	2310	18.5	ford
20	6	155	107	2472	14	mercury
25	4	98	90	2265	15.5	fiat
15	8	350	145	4082	13	chevrolet
15	8	400	230	4278	9.5	pontiac
30	4	68	49	1867	19.5	fiat
25	4	116	75	2158	15.5	opel
20	4	114	91	2582	14	audi
20	4	121	112	2868	15.5	volvo
15	8	318	150	3399	11	dodge
25	4	121	110	2660	14	saab
20	6	156	122	2807	13.5	toyota
10	8	350	180	3664	11	oldsmobile
20	6	198	95	3102	16.5	plymouth
20	6	232	100	2901	16	amc
15	6	250	100	3336	17	chevrolet
30	4	79	67	1950	19	datsun
25	4	122	80	2451	16.5	ford
30	4	71	65	1836	21	toyota
25	4	140	75	2542	17	chevrolet
15	6	250	100	3781	17	chevrolet
15	6	258	110	3632	18	amc
20	6	225	105	3613	16.5	plymouth
15	8	302	140	4141	14	ford
15	8	350	150	4699	14.5	buick
15	8	318	150	4457	13.5	dodge
15	8	302	140	4638	16	ford
15	8	304	150	4257	15.5	amc
30	4	98	83	2219	16.5	audi
25	4	79	67	1963	15.5	volkswagen
25	4	97	78	2300	14.5	opel
30	4	76	52	1649	16.5	toyota
30	4	83	61	2003	19	datsun
30	4	90	75	2125	14.5	dodge
25	4	90	75	2108	15.5	fiat
25	4	116	75	2246	14	fiat
25	4	120	97	2489	15	honda
25	4	108	93	2391	15.5	subaru
30	4	79	67	2000	16	fiat
20	6	225	95	3264	16	plymouth
20	6	250	105	3459	16	chevrolet
15	6	250	72	3432	21	mercury
15	6	250	72	3158	19.5	ford
15	8	400	170	4668	11.5	pontiac
15	8	350	145	4440	14	chevrolet
15	8	318	150	4498	14.5	plymouth
15	8	351	148	4657	13.5	ford
15	6	231	110	3907	21	buick
15	6	250	105	3897	18.5	chevroelt
15	6	258	110	3730	19	amc
20	6	225	95	3785	19	plymouth
20	6	231	110	3039	15	buick
20	8	262	110	3221	13.5	chevrolet
15	8	302	129	3169	12	ford
30	4	97	75	2171	16	toyota
25	4	140	83	2639	17	ford
20	6	232	100	2914	16	amc
25	4	140	78	2592	18.5	pontiac
25	4	134	96	2702	13.5	toyota
25	4	90	71	2223	16.5	volkswagen
25	4	119	97	2545	17	datsun
20	6	171	97	2984	14.5	ford
30	4	90	70	1937	14	volkswagen
20	6	232	90	3211	17	amc
25	4	115	95	2694	15	audi
25	4	120	88	2957	17	peugeot
20	4	121	98	2945	14.5	volvo
25	4	121	115	2671	13.5	saab
35	4	91	53	1795	17.5	honda
30	4	107	86	2464	15.5	fiat
25	4	116	81	2220	16.9	opel
25	4	140	92	2572	14.9	capri
25	4	98	79	2255	17.7	dodge
25	4	101	83	2202	15.3	renault
20	8	305	140	4215	13	chevrolet
15	8	318	150	4190	13	dodge
15	8	304	120	3962	13.9	amc
15	8	351	152	4215	12.8	ford
20	6	225	100	3233	15.4	plymouth
20	6	250	105	3353	14.5	chevrolet
25	6	200	81	3012	17.6	ford
25	6	232	90	3085	17.6	amc
30	4	85	52	2035	22.2	chevrolet
25	4	98	60	2164	22.1	chevrolet
30	4	90	70	1937	14.2	vw
35	4	91	53	1795	17.4	honda
20	6	225	100	3651	17.7	dodge
20	6	250	78	3574	21	ford
20	6	250	110	3645	16.2	pontiac
20	6	258	95	3193	17.8	amc
30	4	97	71	1825	12.2	volkswagen
30	4	85	70	1990	17	datsun
30	4	97	75	2155	16.4	toyota
25	4	140	72	2565	13.6	ford
20	4	130	102	3150	15.7	volvo
15	8	318	150	3940	13.2	plymouth
20	4	120	88	3270	21.9	peugeot
20	6	156	108	2930	15.5	toyota
15	6	168	120	3820	16.7	mercedes-benz
